# Mass = 1.4 Msun 
# R_sp = 12.03683363 km 
# M/R = 0.1717457529
# R/M = 5.822560285
#alpha #b/R #psi #dcosalpha/dcospsi #toa*C/R
1.205449765 1.152727626 1.547610725 0.6624222747 1.036516522 
1.206851825 1.153344718 1.549588521 0.6624634406 1.038793448 
1.208259065 1.15396181 1.551574479 0.6625050417 1.041080937 
1.209671545 1.154578902 1.553568696 0.6625470849 1.043379109 
1.211089327 1.155195993 1.555571272 0.6625895775 1.045688086 
1.212512475 1.155813085 1.557582308 0.6626325266 1.048007996 
1.213941052 1.156430177 1.559601909 0.6626759399 1.050338967 
1.215375125 1.157047269 1.561630181 0.662719825 1.052681129 
1.21681476 1.157664361 1.563667231 0.6627641898 1.055034614 
1.218260025 1.158281453 1.565713171 0.6628090423 1.057399561 
1.21971099 1.158898545 1.567768112 0.6628543907 1.059776107 
1.221167726 1.159515637 1.56983217 0.6629002434 1.062164394 
1.222630306 1.160132728 1.571905462 0.6629466092 1.064564567 
1.224098803 1.16074982 1.573988108 0.6629934967 1.066976772 
1.225573293 1.161366912 1.57608023 0.6630409151 1.069401161 
1.227053854 1.161984004 1.578181953 0.6630888737 1.071837888 
1.228540565 1.162601096 1.580293405 0.6631373819 1.074287108 
1.230033505 1.163218188 1.582414716 0.6631864496 1.076748983 
1.231532758 1.16383528 1.58454602 0.6632360867 1.079223677 
1.233038407 1.164452372 1.586687454 0.6632863034 1.081711357 
1.234550538 1.165069463 1.588839156 0.6633371103 1.084212193 
1.23606924 1.165686555 1.591001269 0.6633885182 1.08672636 
1.237594603 1.166303647 1.593173939 0.6634405381 1.089254039 
1.239126718 1.166920739 1.595357315 0.6634931813 1.09179541 
1.240665679 1.167537831 1.59755155 0.6635464597 1.094350661 
1.242211583 1.168154923 1.5997568 0.6636003851 1.096919983 
1.243764529 1.168772015 1.601973225 0.6636549698 1.099503572 
1.245324617 1.169389107 1.604200989 0.6637102264 1.10210163 
1.246891951 1.170006198 1.606440259 0.663766168 1.104714356 
1.248466636 1.17062329 1.608691207 0.6638228079 1.107341964 
1.250048781 1.171240382 1.61095401 0.6638801598 1.109984668 
1.251638497 1.171857474 1.613228847 0.6639382378 1.112642687 
1.253235898 1.172474566 1.615515903 0.6639968712 1.11564786 
1.254841099 1.173091658 1.617815369 0.6640564414 1.118344023 
1.256454222 1.17370875 1.620127438 0.6641167824 1.121056385 
1.258075389 1.174325842 1.62245231 0.6641779099 1.123785199 
1.259704725 1.174942933 1.62479019 0.6642398402 1.12653072 
1.26134236 1.175560025 1.627141288 0.6643025901 1.129293212 
1.262988426 1.176177117 1.629505819 0.6643661768 1.132072944 
1.264643059 1.176794209 1.631884004 0.6644306181 1.134870192 
1.2663064 1.177411301 1.634276073 0.6644959324 1.137685241 
1.267978591 1.178028393 1.636682257 0.6645621385 1.140518385 
1.269659781 1.178645485 1.639102798 0.6646292559 1.143369922 
1.271350121 1.179262577 1.641537942 0.6646973048 1.146240166 
1.273049767 1.179879669 1.643987944 0.6647663058 1.149129428 
1.274758879 1.18049676 1.646453064 0.6648362804 1.152038037 
1.276477622 1.181113852 1.648933572 0.6649072508 1.15496633 
1.278206167 1.181730944 1.651429745 0.6649792397 1.157914652 
1.279944688 1.182348036 1.653941868 0.6650522709 1.160883362 
1.281693365 1.182965128 1.656470235 0.6651263686 1.163872823 
1.283452384 1.18358222 1.659015147 0.6652015582 1.166883415 
1.285221936 1.184199312 1.661576918 0.6652778658 1.169915528 
1.287002218 1.184816404 1.664155869 0.6653553185 1.172969563 
1.288793433 1.185433495 1.666752332 0.6654339441 1.176045936 
1.290595792 1.186050587 1.669366649 0.6655137717 1.179145072 
1.29240951 1.186667679 1.671999174 0.6655948313 1.182267415 
1.294234812 1.187284771 1.674650273 0.6656771541 1.18541342 
1.296071929 1.187901863 1.677320322 0.6657607724 1.188583559 
1.297921099 1.188518955 1.680009713 0.6658457196 1.191778317 
1.299782569 1.189136047 1.682718848 0.6659320305 1.194998199 
1.301656594 1.189753139 1.685448145 0.6660197413 1.198243725 
1.303543439 1.19037023 1.688198036 0.6661088895 1.201515435 
1.305443377 1.190987322 1.690968969 0.666199514 1.204813886 
1.307356692 1.191604414 1.693761408 0.6662916555 1.208139658 
1.309283678 1.192221506 1.696575833 0.6663853561 1.211493348 
1.311224638 1.192838598 1.699412742 0.6664806598 1.214875579 
1.31317989 1.19345569 1.702272653 0.6665776123 1.218286996 
1.31514976 1.194072782 1.705156104 0.6666762614 1.221728269 
1.317134591 1.194689874 1.708063653 0.6667766568 1.225200093 
1.319134735 1.195306965 1.710995879 0.6668788505 1.228703191 
1.321150562 1.195924057 1.713953386 0.6669828966 1.232238314 
1.323182453 1.196541149 1.716936802 0.6670888517 1.235806245 
1.325230809 1.197158241 1.719946781 0.6671967752 1.239407801 
1.327296045 1.197775333 1.722984006 0.6673067289 1.243043827 
1.329378594 1.198392425 1.726049186 0.6674187777 1.24671521 
1.331478908 1.199009517 1.729143063 0.6675329896 1.250422873 
1.33359746 1.199626609 1.732266412 0.6676494358 1.254167782 
1.335734742 1.2002437 1.735420044 0.667768191 1.257950946 
1.337891271 1.200860792 1.738604804 0.6678893339 1.261773414 
1.340067586 1.201477884 1.741821579 0.6680129468 1.265636292 
1.342264253 1.202094976 1.745071298 0.6681391166 1.269540735 
1.344481864 1.202712068 1.748354934 0.6682679346 1.273487956 
1.346721041 1.20332916 1.751673511 0.6683994973 1.277479226 
1.348982439 1.203946252 1.755028101 0.6685339061 1.281515879 
1.351266743 1.204563344 1.758419834 0.6686712683 1.28559932 
1.353574676 1.205180435 1.761849899 0.6688116973 1.289731027 
1.355907 1.205797527 1.765319547 0.668955313 1.293912558 
1.358264518 1.206414619 1.768830101 0.6691022426 1.298145556 
1.360648078 1.207031711 1.772382955 0.6692526209 1.302431752 
1.363058577 1.207648803 1.775979586 0.6694065908 1.306772983 
1.365496963 1.208265895 1.779621555 0.6695643047 1.311171189 
1.367964243 1.208882987 1.783310518 0.6697259245 1.315628428 
1.370461484 1.209500079 1.787048235 0.6698916229 1.320146884 
1.372989822 1.21011717 1.790836574 0.6700615843 1.324728879 
1.375550464 1.210734262 1.794677526 0.6702360061 1.329376884 
1.378144699 1.211351354 1.798573213 0.6704150993 1.334093536 
1.380773903 1.211968446 1.802525903 0.6705990906 1.33888165 
1.383439548 1.212585538 1.806538022 0.6707882235 1.34374424 
1.386143213 1.21320263 1.810612174 0.6709827605 1.348684533 
1.388886593 1.213819722 1.814751152 0.6711829845 1.353705998 
1.391671512 1.214436814 1.818957967 0.6713892014 1.358812372 
1.39449994 1.215053905 1.823235864 0.671601743 1.36400768 
1.397374006 1.215670997 1.827588355 0.6718209694 1.369296281 
1.400296017 1.216288089 1.832019248 0.6720472729 1.374682895 
1.403268483 1.216905181 1.83653268 0.6722810818 1.380172655 
1.406294139 1.217522273 1.841133164 0.6725228651 1.385771157 
1.409375977 1.218139365 1.845825634 0.672773138 1.391484519 
1.412517277 1.218756457 1.850615504 0.6730324679 1.39731945 
1.415721654 1.219373549 1.855508734 0.6733014827 1.403283342 
1.418993102 1.21999064 1.860511912 0.673580879 1.409384359 
1.422336056 1.220607732 1.865632352 0.6738714334 1.415631564 
1.425755459 1.221224824 1.870878204 0.6741740151 1.422035055 
1.429256853 1.221841916 1.876258602 0.674489602 1.428606147 
1.432846482 1.222459008 1.881783832 0.6748192998 1.435357584 
1.436531421 1.2230761 1.88746555 0.6751643659 1.4423038 
1.440319746 1.223693192 1.893317045 0.6755262395 1.449461257 
1.444220741 1.224310284 1.899353586 0.6759065789 1.45684886 
1.448245164 1.224927376 1.905592849 0.6763073103 1.464488494 
1.452405601 1.225544467 1.912055492 0.6767306896 1.472405733 
1.456716934 1.226161559 1.918765896 0.6771793851 1.480630759 
1.461196969 1.226778651 1.925753182 0.6776565866 1.489199615 
1.465867312 1.227395743 1.933052599 0.6781661551 1.498155927 
1.470754613 1.228012835 1.94070748 0.6787128295 1.507553319 
1.475892385 1.228629927 1.948940236 0.6793478879 1.517458936 
1.481323767 1.229247019 1.957516761 0.679998351 1.527958708 
1.487105902 1.229864111 1.966675512 0.6807130287 1.539165557 
1.493317282 1.230481202 1.976547264 0.6815072613 1.55123284 
1.500070909 1.231098294 1.987320326 0.682403281 1.564377675 
1.507540228 1.231715386 1.999283731 0.6834354444 1.578924666 
1.516017222 1.232332478 2.012923922 0.6846620091 1.595396511 
1.52607124 1.23294957 2.029188492 0.6861975476 1.614729846 
1.539172232 1.233566662 2.05051408 0.6883427842 1.638908377 
1.570796327 1.234183754 2.10011521 0.6942076158 1.706238163 
