#nu mu I
2.419803e+15 1.042267e-01 8.895460e-01
2.419803e+15 1.103312e-01 8.903460e-01
2.419803e+15 1.164316e-01 8.911310e-01
2.419803e+15 1.225277e-01 8.918980e-01
2.419803e+15 1.286190e-01 8.926510e-01
2.419803e+15 1.347155e-01 8.933880e-01
2.419803e+15 1.407969e-01 8.941120e-01
2.419803e+15 1.468731e-01 8.948220e-01
2.419803e+15 1.529437e-01 8.955200e-01
2.419803e+15 1.590085e-01 8.962050e-01
2.419803e+15 1.650772e-01 8.968790e-01
2.419803e+15 1.711299e-01 8.975430e-01
2.419803e+15 1.771760e-01 8.981950e-01
2.419803e+15 1.832155e-01 8.988370e-01
2.419803e+15 1.892481e-01 8.994690e-01
2.419803e+15 1.952735e-01 9.000910e-01
2.419803e+15 2.013014e-01 9.007050e-01
2.419803e+15 2.073119e-01 9.013100e-01
2.419803e+15 2.133145e-01 9.019060e-01
2.419803e+15 2.193092e-01 9.024930e-01
2.419803e+15 2.252955e-01 9.030730e-01
2.419803e+15 2.312831e-01 9.036450e-01
2.419803e+15 2.372522e-01 9.042090e-01
2.419803e+15 2.432124e-01 9.047670e-01
2.419803e+15 2.491634e-01 9.053170e-01
2.419803e+15 2.551050e-01 9.058590e-01
2.419803e+15 2.610467e-01 9.063960e-01
2.419803e+15 2.669688e-01 9.069250e-01
2.419803e+15 2.728809e-01 9.074490e-01
2.419803e+15 2.787827e-01 9.079650e-01
2.419803e+15 2.846740e-01 9.084760e-01
2.419803e+15 2.905641e-01 9.089810e-01
2.419803e+15 2.964337e-01 9.094800e-01
2.419803e+15 3.022921e-01 9.099730e-01
2.419803e+15 3.081391e-01 9.104610e-01
2.419803e+15 3.139745e-01 9.109430e-01
2.419803e+15 3.198075e-01 9.114200e-01
2.419803e+15 3.256190e-01 9.118920e-01
2.419803e+15 3.314182e-01 9.123580e-01
2.419803e+15 3.372049e-01 9.128200e-01
2.419803e+15 3.429789e-01 9.132770e-01
2.419803e+15 3.487493e-01 9.137280e-01
2.419803e+15 3.544972e-01 9.141750e-01
2.419803e+15 3.602318e-01 9.146180e-01
2.419803e+15 3.659527e-01 9.150550e-01
2.419803e+15 3.716599e-01 9.154890e-01
2.419803e+15 3.773530e-01 9.159180e-01
2.419803e+15 3.830412e-01 9.163420e-01
2.419803e+15 3.887056e-01 9.167620e-01
2.419803e+15 3.943554e-01 9.171780e-01
2.419803e+15 3.999904e-01 9.175900e-01
2.419803e+15 4.056102e-01 9.179980e-01
