#nu mu I
2.419803e+15 2.133145e-01 8.661700e-01
2.419803e+15 2.193092e-01 8.667990e-01
2.419803e+15 2.252955e-01 8.674200e-01
2.419803e+15 2.312831e-01 8.680320e-01
2.419803e+15 2.372522e-01 8.686360e-01
2.419803e+15 2.432124e-01 8.692320e-01
2.419803e+15 2.491634e-01 8.698220e-01
2.419803e+15 2.551050e-01 8.704030e-01
2.419803e+15 2.610467e-01 8.709770e-01
2.419803e+15 2.669688e-01 8.715440e-01
2.419803e+15 2.728809e-01 8.721040e-01
2.419803e+15 2.787827e-01 8.726580e-01
2.419803e+15 2.846740e-01 8.732060e-01
2.419803e+15 2.905641e-01 8.737460e-01
2.419803e+15 2.964337e-01 8.742800e-01
2.419803e+15 3.022921e-01 8.748080e-01
2.419803e+15 3.081391e-01 8.753310e-01
2.419803e+15 3.139745e-01 8.758480e-01
2.419803e+15 3.198075e-01 8.763580e-01
2.419803e+15 3.256190e-01 8.768640e-01
2.419803e+15 3.314182e-01 8.773620e-01
2.419803e+15 3.372049e-01 8.778570e-01
2.419803e+15 3.429789e-01 8.783460e-01
2.419803e+15 3.487493e-01 8.788300e-01
2.419803e+15 3.544972e-01 8.793080e-01
2.419803e+15 3.602318e-01 8.797820e-01
2.419803e+15 3.659527e-01 8.802500e-01
2.419803e+15 3.716599e-01 8.807140e-01
2.419803e+15 3.773530e-01 8.811740e-01
2.419803e+15 3.830412e-01 8.816280e-01
2.419803e+15 3.887056e-01 8.820780e-01
2.419803e+15 3.943554e-01 8.825230e-01
2.419803e+15 3.999904e-01 8.829640e-01
2.419803e+15 4.056102e-01 8.834000e-01
