#nu mu I
1.263501e+15 9.991400e-01 1.646437e-01
1.263501e+15 9.993760e-01 1.646451e-01
1.263501e+15 9.995740e-01 1.646463e-01
1.263501e+15 9.997340e-01 1.646473e-01
1.263501e+15 9.998570e-01 1.646481e-01
1.263501e+15 9.999420e-01 1.646487e-01
1.263501e+15 9.999890e-01 1.646489e-01


1.365799e+15 1.000000e-06 1.693302e-01
1.365799e+15 6.146288e-03 1.871772e-01
1.365799e+15 1.228602e-02 1.850935e-01
1.365799e+15 1.842528e-02 1.842027e-01
1.365799e+15 2.456386e-02 1.836980e-01
1.365799e+15 3.070150e-02 1.833749e-01
1.365799e+15 3.684798e-02 1.831573e-01
1.365799e+15 4.298308e-02 1.830095e-01
1.365799e+15 4.911656e-02 1.829113e-01
1.365799e+15 5.524818e-02 1.828499e-01
1.365799e+15 6.137772e-02 1.828166e-01
1.365799e+15 6.751493e-02 1.828054e-01
1.365799e+15 7.363961e-02 1.828115e-01
1.365799e+15 7.976151e-02 1.828317e-01
1.365799e+15 8.588041e-02 1.828630e-01
1.365799e+15 9.199607e-02 1.829035e-01
1.365799e+15 9.810826e-02 1.829515e-01
1.365799e+15 1.042267e-01 1.830056e-01
1.365799e+15 1.103312e-01 1.830647e-01
1.365799e+15 1.164316e-01 1.831279e-01
1.365799e+15 1.225277e-01 1.831946e-01
1.365799e+15 1.286190e-01 1.832640e-01
1.365799e+15 1.347155e-01 1.833358e-01
1.365799e+15 1.407969e-01 1.834094e-01
1.365799e+15 1.468731e-01 1.834844e-01
1.365799e+15 1.529437e-01 1.835608e-01
1.365799e+15 1.590085e-01 1.836381e-01
1.365799e+15 1.650772e-01 1.837161e-01
1.365799e+15 1.711299e-01 1.837947e-01
1.365799e+15 1.771760e-01 1.838737e-01
1.365799e+15 1.832155e-01 1.839530e-01
1.365799e+15 1.892481e-01 1.840325e-01
1.365799e+15 1.952735e-01 1.841120e-01
1.365799e+15 2.013014e-01 1.841916e-01
1.365799e+15 2.073119e-01 1.842710e-01
1.365799e+15 2.133145e-01 1.843504e-01
1.365799e+15 2.193092e-01 1.844294e-01
1.365799e+15 2.252955e-01 1.845084e-01
1.365799e+15 2.312831e-01 1.845870e-01
1.365799e+15 2.372522e-01 1.846652e-01
1.365799e+15 2.432124e-01 1.847432e-01
1.365799e+15 2.491634e-01 1.848208e-01
1.365799e+15 2.551050e-01 1.848980e-01
1.365799e+15 2.610467e-01 1.849748e-01
1.365799e+15 2.669688e-01 1.850511e-01
1.365799e+15 2.728809e-01 1.851271e-01
1.365799e+15 2.787827e-01 1.852027e-01
1.365799e+15 2.846740e-01 1.852777e-01
1.365799e+15 2.905641e-01 1.853523e-01
1.365799e+15 2.964337e-01 1.854265e-01
1.365799e+15 3.022921e-01 1.855001e-01
1.365799e+15 3.081391e-01 1.855733e-01
1.365799e+15 3.139745e-01 1.856461e-01
1.365799e+15 3.198075e-01 1.857183e-01
1.365799e+15 3.256190e-01 1.857901e-01
1.365799e+15 3.314182e-01 1.858614e-01
1.365799e+15 3.372049e-01 1.859322e-01
1.365799e+15 3.429789e-01 1.860025e-01
1.365799e+15 3.487493e-01 1.860724e-01
1.365799e+15 3.544972e-01 1.861418e-01
1.365799e+15 3.602318e-01 1.862107e-01
1.365799e+15 3.659527e-01 1.862791e-01
1.365799e+15 3.716599e-01 1.863470e-01
1.365799e+15 3.773530e-01 1.864145e-01
1.365799e+15 3.830412e-01 1.864815e-01
1.365799e+15 3.887056e-01 1.865480e-01
1.365799e+15 3.943554e-01 1.866141e-01
1.365799e+15 3.999904e-01 1.866796e-01
1.365799e+15 4.056102e-01 1.867448e-01
